Accession	Gene_name	Organism	Function	Subcellular_location	Length
A0A6P3EHE2	LOC101576673	Octodon degus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	294
A0A6P3HH39	LOC104988894	Bison bison bison	Central component of the receptor complex responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. Together with TOM22 functions as the transit peptide receptor at the surface of the mitochondrion outer membrane and facilitates the movement of preproteins into the TOM40 translocation pore. Required for the translocation across the mitochondrial outer membrane of cytochrome P450 monooxygenases	Mitochondrion outer membrane	145
A0A6P3I889	VDAC2	Bison bison bison	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	318
A0A6P3IFS7	VDAC2	Bison bison bison	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	294
A0A6P3PWB8	VDAC2	Pteropus vampyrus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	294
A0A6P3QWL0	VDAC3	Pteropus vampyrus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	283
A0A6P5BIP3	VDAC2	Bos indicus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	294
A0A6P5LTE0	VDAC2	Phascolarctos cinereus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	294
A0A6P5Q952	Tomm20	Mus caroli	Central component of the receptor complex responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. Together with TOM22 functions as the transit peptide receptor at the surface of the mitochondrion outer membrane and facilitates the movement of preproteins into the TOM40 translocation pore. Required for the translocation across the mitochondrial outer membrane of cytochrome P450 monooxygenases	Mitochondrion outer membrane	145
A0A6P6HF49	VDAC2	Puma concolor	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	294
A0A6P8B870	MMM1	Pyricularia grisea	Component of the ERMES/MDM complex, which serves as a molecular tether to connect the endoplasmic reticulum (ER) and mitochondria. Components of this complex are involved in the control of mitochondrial shape and protein biogenesis, and function in nonvesicular lipid trafficking between the ER and mitochondria. The MDM12-MMM1 subcomplex functions in the major beta-barrel assembly pathway that is responsible for biogenesis of all outer membrane beta-barrel proteins, and acts in a late step after the SAM complex. The MDM10-MDM12-MMM1 subcomplex further acts in the TOM40-specific pathway after the action of the MDM12-MMM1 complex. Essential for establishing and maintaining the structure of mitochondria and maintenance of mtDNA nucleoids	Endoplasmic reticulum membrane	411
A0A6P8BCG7	MDM12	Pyricularia grisea	Component of the ERMES/MDM complex, which serves as a molecular tether to connect the endoplasmic reticulum (ER) and mitochondria. Components of this complex are involved in the control of mitochondrial shape and protein biogenesis, and function in nonvesicular lipid trafficking between the ER and mitochondria. MDM12 is required for the interaction of the ER-resident membrane protein MMM1 and the outer mitochondrial membrane-resident beta-barrel protein MDM10. The MDM12-MMM1 subcomplex functions in the major beta-barrel assembly pathway that is responsible for biogenesis of all mitochondrial outer membrane beta-barrel proteins, and acts in a late step after the SAM complex. The MDM10-MDM12-MMM1 subcomplex further acts in the TOM40-specific pathway after the action of the MDM12-MMM1 complex. Essential for establishing and maintaining the structure of mitochondria and maintenance of mtDNA nucleoids	Membrane	559
A0A6S6VV56	MMM1	Pyrenophora teres f. teres	Component of the ERMES/MDM complex, which serves as a molecular tether to connect the endoplasmic reticulum (ER) and mitochondria. Components of this complex are involved in the control of mitochondrial shape and protein biogenesis, and function in nonvesicular lipid trafficking between the ER and mitochondria. The MDM12-MMM1 subcomplex functions in the major beta-barrel assembly pathway that is responsible for biogenesis of all outer membrane beta-barrel proteins, and acts in a late step after the SAM complex. The MDM10-MDM12-MMM1 subcomplex further acts in the TOM40-specific pathway after the action of the MDM12-MMM1 complex. Essential for establishing and maintaining the structure of mitochondria and maintenance of mtDNA nucleoids	Endoplasmic reticulum membrane	497
A0A6S6WQY9	MDM12	Pyrenophora teres f. teres	Component of the ERMES/MDM complex, which serves as a molecular tether to connect the endoplasmic reticulum (ER) and mitochondria. Components of this complex are involved in the control of mitochondrial shape and protein biogenesis, and function in nonvesicular lipid trafficking between the ER and mitochondria. MDM12 is required for the interaction of the ER-resident membrane protein MMM1 and the outer mitochondrial membrane-resident beta-barrel protein MDM10. The MDM12-MMM1 subcomplex functions in the major beta-barrel assembly pathway that is responsible for biogenesis of all mitochondrial outer membrane beta-barrel proteins, and acts in a late step after the SAM complex. The MDM10-MDM12-MMM1 subcomplex further acts in the TOM40-specific pathway after the action of the MDM12-MMM1 complex. Essential for establishing and maintaining the structure of mitochondria and maintenance of mtDNA nucleoids	Membrane	435
A0A6V8GZV5	MDM10	Talaromyces pinophilus	Component of the ERMES/MDM complex, which serves as a molecular tether to connect the endoplasmic reticulum and mitochondria. Components of this complex are involved in the control of mitochondrial shape and protein biogenesis and may function in phospholipid exchange. MDM10 is involved in the late assembly steps of the general translocase of the mitochondrial outer membrane (TOM complex). Functions in the TOM40-specific route of the assembly of outer membrane beta-barrel proteins, including the association of TOM40 with the receptor TOM22 and small TOM proteins. Can associate with the SAM(core) complex as well as the MDM12-MMM1 complex, both involved in late steps of the major beta-barrel assembly pathway, that is responsible for biogenesis of all outer membrane beta-barrel proteins. May act as a switch that shuttles between both complexes and channels precursor proteins into the TOM40-specific pathway. Plays a role in mitochondrial morphology and in the inheritance of mitochondria	Mitochondrion outer membrane	495
A0A6V8HFX6	MMM1	Talaromyces pinophilus	Component of the ERMES/MDM complex, which serves as a molecular tether to connect the endoplasmic reticulum (ER) and mitochondria. Components of this complex are involved in the control of mitochondrial shape and protein biogenesis, and function in nonvesicular lipid trafficking between the ER and mitochondria. The MDM12-MMM1 subcomplex functions in the major beta-barrel assembly pathway that is responsible for biogenesis of all outer membrane beta-barrel proteins, and acts in a late step after the SAM complex. The MDM10-MDM12-MMM1 subcomplex further acts in the TOM40-specific pathway after the action of the MDM12-MMM1 complex. Essential for establishing and maintaining the structure of mitochondria and maintenance of mtDNA nucleoids	Endoplasmic reticulum membrane	487
A0A6V8R4S0	MDM12	Trichoderma asperellum	Component of the ERMES/MDM complex, which serves as a molecular tether to connect the endoplasmic reticulum (ER) and mitochondria. Components of this complex are involved in the control of mitochondrial shape and protein biogenesis, and function in nonvesicular lipid trafficking between the ER and mitochondria. MDM12 is required for the interaction of the ER-resident membrane protein MMM1 and the outer mitochondrial membrane-resident beta-barrel protein MDM10. The MDM12-MMM1 subcomplex functions in the major beta-barrel assembly pathway that is responsible for biogenesis of all mitochondrial outer membrane beta-barrel proteins, and acts in a late step after the SAM complex. The MDM10-MDM12-MMM1 subcomplex further acts in the TOM40-specific pathway after the action of the MDM12-MMM1 complex. Essential for establishing and maintaining the structure of mitochondria and maintenance of mtDNA nucleoids	Membrane	427
